   53815.125339999999        16.739999999999998        8.9999999999999993E-003
   53816.271339999999        16.361999999999998        8.0000000000000002E-003
   53818.184730000001        15.880000000000001        8.9999999999999993E-003
   53819.211640000001        15.690000000000000        8.9999999999999993E-003
   53821.097930000004        15.438000000000001        4.0000000000000001E-003
   53823.159330000002        15.287000000000001        7.0000000000000001E-003
   53824.158629999998        15.212999999999999        6.0000000000000001E-003
   53828.014120000000        15.188000000000001        4.0000000000000001E-003
   53831.133840000002        15.285000000000000        8.0000000000000002E-003
   53832.137080000000        15.335000000000001        6.0000000000000001E-003
   53834.222889999997        15.468000000000000        7.0000000000000001E-003
   53835.064830000003        15.534000000000001        7.0000000000000001E-003
   53838.155720000002        15.808999999999999        1.0999999999999999E-002
   53840.116920000000        15.980000000000000        8.0000000000000002E-003
   53841.176570000003        16.102000000000000        7.0000000000000001E-003
   53845.056740000000        16.530000000000001        8.0000000000000002E-003
   53850.112950000002        17.077999999999999        7.0000000000000001E-003
   53858.060429999998        17.725999999999999        8.9999999999999993E-003
   53861.056040000003        17.861999999999998        1.2000000000000000E-002
   53866.045140000002        18.065999999999999        1.4999999999999999E-002
   53867.112950000002        18.140000000000001        2.0000000000000000E-002
   53870.063289999998        18.190999999999999        1.2999999999999999E-002
   53871.031909999998        18.215000000000000        1.2999999999999999E-002
   53872.029289999999        18.247000000000000        1.2999999999999999E-002
   53890.054290000000        18.545000000000002        1.6000000000000000E-002
   53890.987939999999        18.584000000000000        2.0000000000000000E-002
   53892.003720000001        18.606999999999999        1.0999999999999999E-002
   53898.007039999997        18.670999999999999        1.0000000000000000E-002
