   54493.117599999998        15.558999999999999        6.0000000000000001E-003
   54494.070970000001        15.531000000000001        7.0000000000000001E-003
   54497.081449999998        15.653000000000000        6.0000000000000001E-003
   54499.069530000001        15.842000000000001        6.0000000000000001E-003
   54508.064400000003        17.184999999999999        8.9999999999999993E-003
   54512.040419999998        17.686000000000000        1.4000000000000000E-002
   54517.065419999999        18.117999999999999        2.8000000000000001E-002
   54519.047939999997        18.257999999999999        1.7000000000000001E-002
   54521.023119999998        18.359000000000002        1.4000000000000000E-002
   54523.007850000002        18.469999999999999        1.2999999999999999E-002
   54527.002070000002        18.600000000000001        1.6000000000000000E-002
