 2006ef 0.01787 0.01701 0.837 0.036 1.355 0.071 15.414 0.048 0.030 0.023 1.7 1.3 -0.0018 34.49 0.08 0.97                                                                                                                                                         
 2006ej 0.02044 0.01933 0.829 0.035 1.368 0.070 15.697 0.038 0.067 0.022 1.9 1.1 -0.0102 34.67 0.06 0.97                                                                                                                                                         
 2006eq 0.04947 0.04836 0.616 0.038 1.612 0.071 18.258 0.045 0.196 0.033 2.1 0.6 -0.0114 36.57 0.05 0.98                                                                                                                                                         
 2006et 0.02216 0.02118 1.093 0.031 0.887 0.061 15.818 0.006 0.232 0.015 2.4 0.3 -0.0026 34.66 0.05 0.95                                                                                                                                                         
 2006ev 0.02871 0.02760 0.846 0.036 1.334 0.070 16.931 0.039 0.240 0.031 2.4 0.5 -0.0122 35.50 0.05 0.97                                                                                                                                                         
 2006fw 0.08294 0.08199 0.888 0.058 1.093 0.123 18.982 0.055 0.287 0.033 2.2 0.7 -0.0045 37.36 0.09 0.19                                                                                                                                                         
 2006gj 0.02833 0.02775 0.657 0.031 1.560 0.061 17.363 0.008 0.279 0.021 2.4 0.4 -0.0054 35.48 0.05 0.97                                                                                                                                                         
 2006gt 0.04474 0.04364 0.554 0.031 1.645 0.061 17.964 0.010 0.081 0.019 2.0 1.0 -0.0072 36.41 0.04 0.98                                                                                                                                                         
 2006hb 0.01533 0.01534 0.673 0.035 1.584 0.069 15.373 0.036 0.094 0.024 1.8 0.7 -0.0081 34.08 0.07 0.97                                                                                                                                                         
 2006hx 0.04546 0.04440 0.988 0.035 1.028 0.065 17.407 0.023 0.217 0.021 2.4 0.5 -0.0059 36.22 0.04 0.94                                                                                                                                                         
 2006is 0.03133 0.03142 1.323 0.039 0.796 0.072 16.124 0.040 0.007 0.009 1.6 1.4 -0.0025 35.40 0.06 0.91                                                                                                                                                         
 2006lu 0.05337 0.05440 1.049 0.037 0.933 0.071 17.534 0.039 0.030 0.023 1.7 1.3 -0.0016 36.88 0.04 0.98                                                                                                                                                         
 2006ob 0.05920 0.05825 0.725 0.032 1.512 0.062 18.165 0.015 0.062 0.017 2.0 1.0 -0.0044 37.00 0.04 0.98                                                                                                                                                         
 2006os 0.03279 0.03208 0.920 0.038 1.048 0.077 17.280 0.042 0.419 0.039 2.1 0.4 -0.0109 35.61 0.05 0.97                                                                                                                                                         
 2006py 0.05786 0.05664 0.950 0.040 1.059 0.077 17.813 0.016 0.146 0.020 2.0 0.7 -0.0029 36.79 0.05 0.95                                                                                                                                                         
 2007A  0.01763 0.01646 1.012 0.032 0.954 0.063 15.505 0.007 0.265 0.020 2.5 0.3 -0.0053 34.20 0.06 0.97                                                                                                                                                         
 2007N  0.01287 0.01400 0.304 0.031 1.888 0.060 17.073 0.013 0.436 0.037 1.3 0.3 -0.0035 33.93 0.09 0.97                                                                                                                                                         
 2007S  0.01387 0.01502 1.114 0.031 0.796 0.061 15.408 0.008 0.475 0.017 2.3 0.1 -0.0017 33.70 0.07 0.88                                                                                                                                                         
 2007af 0.00546 0.00629 0.926 0.030 1.084 0.061 13.054 0.005 0.166 0.015 2.0 0.4 -0.0036 31.98 0.14 0.95                                                                                                                                                         
 2007ai 0.03164 0.03199 1.229 0.032 0.844 0.062 16.842 0.008 0.229 0.043 2.4 0.6 -0.0144 35.62 0.05 0.97                                                                                                                                                         
 2007as 0.01756 0.01790 0.884 0.030 1.179 0.060 15.391 0.005 0.118 0.026 1.4 0.6 -0.0106 34.44 0.06 0.98                                                                                                                                                         
 2007ba 0.03849 0.03905 0.542 0.031 1.685 0.062 17.436 0.009 0.200 0.022 1.0 0.4 -0.0036 35.69 0.04 0.31                                                                                                                                                         
 2007bc 0.02076 0.02185 0.876 0.031 1.293 0.061 15.806 0.006 0.109 0.013 1.7 0.5 -0.0030 34.78 0.05 0.97                                                                                                                                                         
 2007bd 0.03100 0.03194 0.882 0.030 1.274 0.062 16.559 0.008 0.065 0.015 1.0 0.9 -0.0060 35.66 0.04 0.98                                                                                                                                                         
 2007bm 0.00621 0.00744 0.899 0.031 1.194 0.061 13.979 0.007 0.532 0.020 1.8 0.1 -0.0021 32.21 0.12 0.93                                                                                                                                                         
 2007ca 0.01406 0.01507 1.058 0.031 0.872 0.061 15.632 0.006 0.343 0.021 3.1 0.3 -0.0049 33.96 0.07 0.97                                                                                                                                                         
 2007hx 0.07976 0.07887 1.059 0.053 0.905 0.082 19.044 0.045 0.281 0.033 2.4 0.5 -0.0080 37.74 0.06 0.98                                                                                                                                                         
 2007jg 0.03711 0.03658 0.914 0.031 1.212 0.061 17.207 0.007 0.111 0.019 2.3 0.7 -0.0073 36.19 0.04 0.96                                                                                                                                                         
 2007jh 0.04077 0.04026 0.584 0.035 1.811 0.062 18.012 0.019 0.219 0.031 2.0 0.7 -0.0073 36.23 0.07 0.98                                                                                                                                                         
 2007le 0.00672 0.00552 1.024 0.030 0.961 0.061 13.584 0.005 0.380 0.016 1.9 0.2 -0.0017 32.23 0.16 0.97                                                                                                                                                         
 2007nq 0.04500 0.04390 0.745 0.030 1.491 0.061 17.370 0.007 0.052 0.013 2.8 1.2 -0.0037 36.19 0.04 0.94                                                                                                                                                         
 2008C  0.01661 0.01707 0.953 0.039 1.060 0.078 15.470 0.045 0.244 0.034 1.8 0.5 -0.0117 34.28 0.07 0.97                                                                                                                                                         
 2008R  0.01349 0.01289 0.593 0.030 1.630 0.061 15.140 0.006 0.030 0.018 1.4 1.2 -0.0060 33.76 0.08 0.97                                                                                                                                                         
 2008bq 0.03398 0.03444 1.155 0.031 0.919 0.061 16.670 0.005 0.127 0.022 2.5 0.9 -0.0110 35.74 0.05 0.97                                                                                                                                                         
 2008fp 0.00566 0.00629 1.082 0.031 0.807 0.060 13.472 0.005 0.518 0.034 2.2 0.3 -0.0070 31.72 0.14 0.89                                                                                                                                                         
 2008gp 0.03339 0.03282 0.973 0.030 1.020 0.060 16.443 0.006 0.030 0.018 1.4 1.3 -0.0079 35.71 0.04 0.98                                                                                                                                                         
 2008hv 0.01254 0.01358 0.846 0.030 1.329 0.060 14.766 0.005 0.015 0.011 1.1 1.4 -0.0057 33.88 0.07 0.97                                                                                                                                                         
