 2004dt   1.8810000000000000E-002  0.14899999999999999        2.7000000000000002     
 2004ef   2.9770000000000001E-002  0.16200000000000001        1.8000000000000000     
 2004eo   1.4730000000000000E-002  0.13000000000000000        1.1000000000000001     
 2004ey   1.4630000000000001E-002   2.5999999999999999E-002   1.3000000000000000     
 2004gc   3.2110000000000000E-002  0.22600000000000001        1.8999999999999999     
 2004gs   2.7500000000000000E-002  0.19000000000000000        1.8999999999999999     
 2004gu   4.6899999999999997E-002   9.7000000000000003E-002   1.0000000000000000     
 2005A    1.8339999999999999E-002   1.1650000000000000        1.7000000000000000     
 2005M    2.2970000000000001E-002   5.5000000000000000E-002   2.0000000000000000     
 2005W    7.9500000000000005E-003  0.23200000000000001        1.8999999999999999     
 2005ag   8.0019999999999994E-002   3.1000000000000000E-002   1.6000000000000001     
 2005al   1.3290000000000000E-002   8.9999999999999993E-003   1.6000000000000001     
 2005am   8.9700000000000005E-003   7.8000000000000000E-002   1.1000000000000001     
 2005be   3.5600000000000000E-002   3.2000000000000001E-002   1.7000000000000000     
 2005bg   2.4160000000000001E-002   7.4999999999999997E-002   1.8999999999999999     
 2005bo   1.5010000000000001E-002  0.33300000000000002        2.2000000000000002     
 2005el   1.4890000000000000E-002   7.0000000000000001E-003   1.5000000000000000     
 2005eq   2.8350000000000000E-002  0.10900000000000000        2.3999999999999999     
 2005hc   4.4979999999999999E-002   3.6999999999999998E-002   2.3999999999999999     
 2005hj   5.6950000000000001E-002   2.7000000000000000E-002   1.3000000000000000     
 2005iq   3.2930000000000001E-002   2.9999999999999999E-002   2.2000000000000002     
 2005ir   7.5249999999999997E-002   7.8000000000000000E-002   2.0000000000000000     
 2005kc   1.3890000000000000E-002  0.31400000000000000        2.2000000000000002     
 2005ki   2.0369999999999999E-002   1.7000000000000001E-002   1.3999999999999999     
 2005ku   4.4179999999999997E-002  0.15800000000000000        1.7000000000000000     
 2005lu   3.1289999999999998E-002  0.28499999999999998        2.1000000000000001     
 2005mc   2.6009999999999998E-002  0.25300000000000000        1.8999999999999999     
 2005na   2.6810000000000000E-002   7.0999999999999994E-002   2.5000000000000000     
 2006D    9.6399999999999993E-003  0.13500000000000001        1.6000000000000001     
 2006ax   1.7960000000000000E-002   2.0000000000000000E-002   1.6000000000000001     
 2006bd   2.6800000000000001E-002  0.36199999999999999        1.6000000000000001     
 2006bh   1.0489999999999999E-002   3.5000000000000003E-002   1.6000000000000001     
 2006br   2.5520000000000001E-002  0.99700000000000000        2.2000000000000002     
 2006ef   1.7010000000000001E-002   2.9999999999999999E-002   1.7000000000000000     
 2006ej   1.9330000000000000E-002   6.7000000000000004E-002   1.8999999999999999     
 2006eq   4.8360000000000000E-002  0.19600000000000001        2.1000000000000001     
 2006et   2.1180000000000001E-002  0.23200000000000001        2.3999999999999999     
 2006ev   2.7600000000000000E-002  0.23999999999999999        2.3999999999999999     
 2006fw   8.1989999999999993E-002  0.28699999999999998        2.2000000000000002     
 2006gj   2.7750000000000000E-002  0.27900000000000003        2.3999999999999999     
 2006gt   4.3639999999999998E-002   8.1000000000000003E-002   2.0000000000000000     
 2006hb   1.5339999999999999E-002   9.4000000000000000E-002   1.8000000000000000     
 2006hx   4.4400000000000002E-002  0.21700000000000000        2.3999999999999999     
 2006is   3.1419999999999997E-002   7.0000000000000001E-003   1.6000000000000001     
 2006lu   5.4399999999999997E-002   2.9999999999999999E-002   1.7000000000000000     
 2006ob   5.8250000000000003E-002   6.2000000000000000E-002   2.0000000000000000     
 2006os   3.2079999999999997E-002  0.41899999999999998        2.1000000000000001     
 2006py   5.6640000000000003E-002  0.14599999999999999        2.0000000000000000     
 2007A    1.6459999999999999E-002  0.26500000000000001        2.5000000000000000     
 2007N    1.4000000000000000E-002  0.43600000000000000        1.3000000000000000     
 2007S    1.5020000000000000E-002  0.47499999999999998        2.2999999999999998     
 2007af   6.2899999999999996E-003  0.16600000000000001        2.0000000000000000     
 2007ai   3.1989999999999998E-002  0.22900000000000001        2.3999999999999999     
 2007as   1.7899999999999999E-002  0.11799999999999999        1.3999999999999999     
 2007ba   3.9050000000000001E-002  0.20000000000000001        1.0000000000000000     
 2007bc   2.1850000000000001E-002  0.10900000000000000        1.7000000000000000     
 2007bd   3.1940000000000003E-002   6.5000000000000002E-002   1.0000000000000000     
 2007bm   7.4400000000000004E-003  0.53200000000000003        1.8000000000000000     
 2007ca   1.5070000000000000E-002  0.34300000000000003        3.1000000000000001     
 2007hx   7.8869999999999996E-002  0.28100000000000003        2.3999999999999999     
 2007jg   3.6580000000000001E-002  0.11100000000000000        2.2999999999999998     
 2007jh   4.0259999999999997E-002  0.21900000000000000        2.0000000000000000     
 2007le   5.5199999999999997E-003  0.38000000000000000        1.8999999999999999     
 2007nq   4.3900000000000002E-002   5.1999999999999998E-002   2.7999999999999998     
 2008C    1.7069999999999998E-002  0.24399999999999999        1.8000000000000000     
 2008R    1.2890000000000000E-002   2.9999999999999999E-002   1.3999999999999999     
 2008bq   3.4439999999999998E-002  0.12700000000000000        2.5000000000000000     
 2008fp   6.2899999999999996E-003  0.51800000000000002        2.2000000000000002     
 2008gp   3.2820000000000002E-002   2.9999999999999999E-002   1.3999999999999999     
 2008hv   1.3580000000000000E-002   1.4999999999999999E-002   1.1000000000000001     
